graph-1000-10, p=0
tabucol targetK 10 dynamic 19 MiSS
tabucol targetK 21 dynamic 21 HIT
tabucol targetK 20 dynamic 19 MiSS
tabucol targetK 21 reactive 21 HIT
tabucol targetK 22 reactive 21 HIT
tabucol targetK 23 reactive 23 HIT
partialcol targetK 23 dynamic 23 HIT
partialcol targetK 22 dynamic 22 HIT
partialcol targetK 20 dynamic 19 MiSS
partialcol targetK 21 dynamic 21 HIT
partialcol targetK 21 reactive 21 HIT 5
partialcol targetK 22 reactive 22 HIT
tabucol targetK 20 dynamic 19 MiSS


graph-1000-10, p=1
partialcol targetK 20 reactive 19 MiSS 0
tabucol targetK 21 reactive 21 HIT 5
partialcol targetK 21 reactive 21 HIT 5
partialcol targetK 21 reactive 21 HIT 5
tabucol targetK 21 reactive 21 HIT 5
tabucol targetK 20 reactive 19 MISS 0
partialcol targetK 20 reactive 19 MiSS 0
tabucol targetK 22 dynamic 30 MiSS 0
tabucol targetK 22 reactive 22 MISS 0
partialcol targetK 22 reactive 22 HIT 5
tabucol targetK 23 reactive 22 MISS 0
tabucol targetK 23 reactive 23 HIT 5
tabucol targetK 77 dynamic 76 HIT 5
partialcol targetK 77 dynamic 76 HIT 5

graph-1000-10, p=5
tabucol targetK 45 reactive 44 HIT 1
partialcol targetK 74 dynamic 73 HIT 5
tabucol targetK 74 dynamic 73 HIT 5
tabucol targetK 73 dynamic 72 HIT 5
partialcol targetK 73 dynamic 72 HIT 5
partialcol targetK 70 dynamic 69 HIT 5
tabucol targetK 70 dynamic 69 HIT 5
tabucol targetK 65 dynamic 64 HIT 5
partialcol targetK 65 dynamic 64 HIT 5
partialcol targetK 63 dynamic 62 HIT 5
tabucol targetK 63 dynamic 62 HIT 5
tabucol targetK 61 dynamic 60 MiSS 0
tabucol targetK 62 dynamic 61 HIT 5
partialcol targetK 62 dynamic 61 HIT 5
partialcol targetK 45 reactive 44 HIT 1
partialcol targetK 62 dynamic 61 HIT 5
partialcol targetK 62 dynamic 64 MiSS 0
partialcol targetK 76 dynamic 80 MiSS 0
partialcol targetK 77 dynamic 76 HIT 5
tabucol targetK 77 dynamic 76 HIT 5
partialcol targetK 36 reactive 35 MiSS 0
partialcol targetK 37 reactive 36 MiSS 0
partialcol targetK 38 reactive 37 MiSS 0
partialcol targetK 39 reactive 38 MiSS 0
partialcol targetK 40 reactive 39 MiSS 0
partialcol targetK 41 reactive 40 MiSS 0
partialcol targetK 42 reactive 41 MiSS 0
partialcol targetK 43 reactive 42 MiSS 0
partialcol targetK 44 reactive 44 HIT 2
partialcol targetK 61 dynamic 60 MiSS 0
partialcol targetK 62 dynamic 61 HIT 5
tabucol targetK 62 dynamic 61 HIT 5


graph-1000-10, p=10
tabucol targetK 50 reactive 50 MISS 0
tabucol targetK 55 reactive 55 MISS 0
partialcol targetK 55 reactive 54 MiSS 0
tabucol targetK 60 reactive 59 HIT 5
